ID;SoortMisdrijf;WijkenEnBuurten;Perioden;GeregistreerdeMisdrijven_1;Gemeentenaam_2;SoortRegio_3
5147;0.0.0 ;BU00340301;2024JJ00;15;                              ;        
5160;0.0.0 ;BU00340302;2024JJ00;21;                              ;        
5173;0.0.0 ;BU00340303;2024JJ00;31;                              ;        
5186;0.0.0 ;BU00340304;2024JJ00;2;                              ;        
5212;0.0.0 ;BU00340401;2024JJ00;32;                              ;        
5225;0.0.0 ;BU00340402;2024JJ00;11;                              ;        
5238;0.0.0 ;BU00340403;2024JJ00;30;                              ;        
5264;0.0.0 ;BU00340501;2024JJ00;39;                              ;        
5277;0.0.0 ;BU00340502;2024JJ00;23;                              ;        
5290;0.0.0 ;BU00340503;2024JJ00;15;                              ;        
5303;0.0.0 ;BU00340504;2024JJ00;1;                              ;        
5329;0.0.0 ;BU00340601;2024JJ00;20;                              ;        
5342;0.0.0 ;BU00340602;2024JJ00;61;                              ;        
5355;0.0.0 ;BU00340603;2024JJ00;6;                              ;        
5368;0.0.0 ;BU00340604;2024JJ00;3;                              ;        
5381;0.0.0 ;BU00340605;2024JJ00;1;                              ;        
5394;0.0.0 ;BU00340606;2024JJ00;1;                              ;        
5420;0.0.0 ;BU00340701;2024JJ00;12;                              ;        
5433;0.0.0 ;BU00340702;2024JJ00;7;                              ;        
5446;0.0.0 ;BU00340703;2024JJ00;27;                              ;        
5459;0.0.0 ;BU00340704;2024JJ00;2;                              ;        
5485;0.0.0 ;BU00340801;2024JJ00;21;                              ;        
5498;0.0.0 ;BU00340802;2024JJ00;31;                              ;        
5511;0.0.0 ;BU00340803;2024JJ00;56;                              ;        
5537;0.0.0 ;BU00340901;2024JJ00;7;                              ;        
5550;0.0.0 ;BU00340902;2024JJ00;12;                              ;        
5576;0.0.0 ;BU00341001;2024JJ00;24;                              ;        
5589;0.0.0 ;BU00341002;2024JJ00;1;                              ;        
5602;0.0.0 ;BU00341003;2024JJ00;1;                              ;        
5628;0.0.0 ;BU00341101;2024JJ00;12;                              ;        
5641;0.0.0 ;BU00341102;2024JJ00;28;                              ;        
5667;0.0.0 ;BU00341401;2024JJ00;41;                              ;        
5693;0.0.0 ;BU00341501;2024JJ00;15;                              ;        
5719;0.0.0 ;BU00341601;2024JJ00;3;                              ;        
5732;0.0.0 ;BU00341602;2024JJ00;65;                              ;        
5758;0.0.0 ;BU00341701;2024JJ00;225;                              ;        
5771;0.0.0 ;BU00341702;2024JJ00;568;                              ;        
5784;0.0.0 ;BU00341703;2024JJ00;283;                              ;        
5797;0.0.0 ;BU00341704;2024JJ00;217;                              ;        
5810;0.0.0 ;BU00341705;2024JJ00;464;                              ;        
5836;0.0.0 ;BU00341801;2024JJ00;59;                              ;        
5849;0.0.0 ;BU00341802;2024JJ00;56;                              ;        
5862;0.0.0 ;BU00341803;2024JJ00;42;                              ;        
5875;0.0.0 ;BU00341804;2024JJ00;64;                              ;        
5888;0.0.0 ;BU00341805;2024JJ00;67;                              ;        
5901;0.0.0 ;BU00341806;2024JJ00;42;                              ;        
5914;0.0.0 ;BU00341807;2024JJ00;5;                              ;        
